Nationality;Discipline;Last Name;First Name;Age
NGR;ATH;ANUMBA;ASHLEY;26
NGR;BKB;BALOGUN;ELIZABETH;25
NOR;ATH;INGVALDSEN;HAVARD BENTDAL;23
NOR;CSP;SLETSJOEE;ANNA MARGRETE;28
NOR;DIV;TUXEN;HELLE;24
NOR;EQU;FREESE;ISABEL;46
NOR;GLF;HOVLAND;VIKTOR;28
NOR;HBL;AGA;VETLE ECK;32
NOR;HBL;SOLBERG-ISAKSEN;SANNA;35
NOR;ROW;HELSETH;THEA;29
NZL;CSP;MATEHAERE;LUCY;25
NZL;EQU;PRICE;JONELLE;45
NZL;FBL;LEAT;ANNA;24
NZL;ROW;KIDDLE;JACKIE;31
NZL;RU7;MOLIA;SIONE;32
NZL;SAL;MCHARDIE;ISAAC;28
NZL;SWM;GRAY;CAMERON;22
PER;ATH;VALDIVIA;THALIA;29
POL;ATH;KONIECZEK;ANETA;28
POL;CTR;PIKULIK;DARIA;28
POL;FEN;RZADKOWSKI;ANDRZEJ;28
POL;GLF;MERONK;ADRIAN;32
POL;TEN;LINETTE;MAGDA;33
POL;TTE;WEGRZYN;ANNA;24
POL;WLF;ZIELINSKA;WERONIKA;28
POR;ATH;AFONSO;SALOME;28
POR;EQU;DUARTE;RITA RALAO;32
POR;SAL;COSTA;DIOGO;28
POR;TEN;CABRAL;FRANCISCO;28
PRK;DIV;KIM;MI RAE;24
USA;BKB;HOLLINGSHED;MYA;26
USA;BOX;LOPEZ DE JESUS;JUANMA;20
QAT;SHO;AL-ATHBA;RASHID SALEH;38
ROU;GAR;MANECA-VOINEA;SABRINA;18
ROU;ROW;BAITOC;BOGDAN;27
ROU;TEN;NICULESCU;MONICA;38
ROU;WPO;COLODROVSCHI;SILVIAN;25
ROU;WRE;ANA;ANDREEA BEATRICE;25
RSA;ATH;NENE;ZAKITHI;27
RSA;CSP;OLIVIER;ESTI;33
RSA;HOC;CASSIEM;ABDUD-DAYAAN;27
RSA;HOC;BOTHA;STEPHANIE;27
UKR;MPN;CHEKAN;VLADYSLAV;23
USA;ATH;HOLLOWAY;GRANT;28
USA;FBL;CREMASCHI;BENJAMIN;20
USA;GAR;CAREY;JADE;25
USA;GAR;RIVERA;HEZLY;17
USA;HOC;BING;KELSEY;28
USA;ROW;MILNE;RIELLY;29
USA;RU7;MAHER;ILONA;29
USA;SAL;BARROWS;IAN;30
USA;SHO;MADDALENA;SAGEN;32
USA;VVO;DEFALCO;TOREY;28
USA;VVO;MA'A;MICAH;28
USA;VVO;DREWS;ANDREA;32
USA;WLF;KITTS;WES;35
USA;WRE;BEY;KAMAL AMEER;28
USA;WRE;ELOR;AMIT;22
UZB;ATH;DAVRONOVA;SHARIFA;19
UZB;SWM;ZELINSKAYA;ANASTASIYA;21
VEN;ATH;TORREALBA;LEODAN;29
VEN;EQU;LARRAZABAL;LUIS FERNANDO;33
VEN;SWM;MESTRE;ALBERTO;26
VEN;SWM;MESTRE VIVAS;ALFONSO ENRIQUE;24
VEN;WLF;VENEGAS VALERA;ANYELIN;26
VIE;SWM;NGUYEN;HUY HOANG;25
YEM;SHO;AL RAIMI;YASAMEEN;40
ZAM;FBL;BANDA;DIANA;23
ZAM;FBL;LUBANDJI;OCHUMBA;24
ZAM;FBL;NACHULA;RACHEAL;39
ALG;ATH;MOULA;SLIMANE;26
ALG;FEN;HEROUI;SALIM;26
ARG;HOC;BUGALLO;AGUSTIN;30
ARG;SKB;DELL OLIO;MATIAS;29
ARG;TEN;GONZALEZ;MAXIMO;42
ARG;VVO;CONTE;FACUNDO;36
AUS;ATH;MCDONALD;MORGAN;29
AUS;ATH;TIERNAN;PATRICK;31
AUS;ATH;CONNOLLY;ELLA;25
AUS;RU7;GONZALEZ;MATTHEW;31
AUS;SWM;WINNINGTON;ELIJAH;25
AUS;SWM;ANDERSON;IONA;20
AUS;WPO;ANDREWS;CHARLIZE;24
AUT;JUD;BORCHASHVILI;WACHID;27
AUT;ROW;ALTENHUBER;LOUISA;30
BAH;ATH;RUSSELL;ALONZO;33
BAH;ATH;TAYLOR;CHARISMA;26
BEL;ATH;BOLINGO;CYNTHIA;32
BEL;ATH;CLAES;HANNE;34
BEL;ATH;VINCKE;RANI;25
BEL;CRD;KOPECKY;LOTTE;30
BEL;CSP;PETERS;HERMIEN;31
BEL;HOC;WEGNEZ;VICTOR;30
BRA;BKB;NETO;RAUL;33
BRA;CSL;GONCALVES;PEDRO;32
BRA;FBL;ANGELINA;;25
BRA;GTR;GOMES;CAMILLA;31
BRA;JUD;LIMA;WILLIAN;25
BRA;RU7;FIORAVANTI;MARINA;32
BRA;SRF;HINCKEL;TAINA;22
BRN;ATH;YAVI;WINFRED;26
BUL;GRY;MINEVSKA;MAGDALINA;20
BUL;GRY;PETROVA;KAMELIA;19
BUL;SWM;MITSIN;PETAR PETROV;20
BUL;SWM;GEORGIEVA;GABRIELA;28
CAN;CSL;BALDONI;ALEX;22
CAN;CSP;STOTT;COURTNEY;33
CAN;EQU;PHOENIX;JESSICA;42
CAN;FBL;D'ANGELO;SABRINA;32
CAN;ROW;FILMER;CAILEIGH;29
CAN;SWM;KISIL;YURI;30
CAN;TTE;WANG;EUGENE;40
CHI;ATH;CATRILEO;HUGO;28
CHI;SAL;PONCELL MAURIN;MARIA JOSE;30
CHN;ARC;YANG;XIAOLEI;25
CHN;BOX;TUOHETAERBIEKE;TANGLATIHAN;29
CHN;SWM;ZHANG;YUFEI;27
CHN;VVO;WANG;YUANYUAN;28
CHN;WLF;LUO;SHIFANG;24
CUB;CRD;SIERRA CANADILLA;ARLENIS;33
DEN;HBL;HEINDAHL;KATHRINE;33
DEN;SHO;GRUNDSOEE;STEPHANIE LAURA SCURRAH;25
ECU;BMX;CAMPO;ALFREDO JOSE;32
EGY;FEN;HAMZA;MOHAMED;25
EGY;SHO;ELSAYED ABUQARN;MAI MAGDY;26
IRI;JUD;BARBARI ZHARFI;MAHBOUBEH;34
ESP;ARC;ACHA GONZALEZ;PABLO;29
ESP;ATH;MARTIN;ALVARO;31
ESP;ATH;DIAME;FATIMA;29
ESP;ATH;GARCIA;MARTA;28
ESP;ATH;GARCIA-CARO;LAURA;30
ESP;CRD;AYUSO PESQUERA;JUAN;23
ESP;CRD;BENITO PELLICER;MIREIA;29
ESP;CSP;PORTELA;TERESA;43
